% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 52.20 s, time offset 26.10 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-10-23 T 09:44:36 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.220062976000e+01, nan, nan
-5.214945267200e+01, nan, nan
-5.209827558400e+01, nan, nan
-5.204709849600e+01, nan, nan
-5.199592140800e+01, nan, nan
-5.194474432000e+01, nan, nan
-5.189356723200e+01, nan, nan
-5.184239014400e+01, nan, nan
-5.179121305600e+01, nan, nan
-5.174003596800e+01, nan, nan
-5.168885888000e+01, nan, nan
-5.163768179200e+01, nan, nan
-5.158650470400e+01, nan, nan
-5.153532761600e+01, nan, nan
-5.148415052800e+01, nan, nan
-5.143297344000e+01, nan, nan
-5.138179635200e+01, nan, nan
-5.133061926400e+01, nan, nan
-5.127944217600e+01, nan, nan
-5.122826508800e+01, nan, nan
-5.117708800000e+01, nan, nan
-5.112591091200e+01, nan, nan
-5.107473382400e+01, nan, nan
-5.102355673600e+01, nan, nan
-5.097237964800e+01, nan, nan
-5.092120256000e+01, nan, nan
-5.087002547200e+01, nan, nan
-5.081884838400e+01, nan, nan
-5.076767129600e+01, nan, nan
-5.071649420800e+01, nan, nan
-5.066531712000e+01, nan, nan
-5.061414003200e+01, nan, nan
-5.056296294400e+01, nan, nan
-5.051178585600e+01, nan, nan
-5.046060876800e+01, nan, nan
-5.040943168000e+01, nan, nan
-5.035825459200e+01, nan, nan
-5.030707750400e+01, nan, nan
-5.025590041600e+01, nan, nan
-5.020472332800e+01, nan, nan
-5.015354624000e+01, nan, nan
-5.010236915200e+01, nan, nan
-5.005119206400e+01, nan, nan
-5.000001497600e+01, nan, nan
-4.994883788800e+01, nan, nan
-4.989766080000e+01, nan, nan
-4.984648371200e+01, nan, nan
-4.979530662400e+01, nan, nan
-4.974412953600e+01, nan, nan
-4.969295244800e+01, nan, nan
-4.964177536000e+01, nan, nan
-4.959059827200e+01, nan, nan
-4.953942118400e+01, nan, nan
-4.948824409600e+01, nan, nan
-4.943706700800e+01, nan, nan
-4.938588992000e+01, nan, nan
-4.933471283200e+01, nan, nan
-4.928353574400e+01, nan, nan
-4.923235865600e+01, nan, nan
-4.918118156800e+01, nan, nan
-4.913000448000e+01, nan, nan
-4.907882739200e+01, nan, nan
-4.902765030400e+01, nan, nan
-4.897647321600e+01, nan, nan
-4.892529612800e+01, nan, nan
-4.887411904000e+01, nan, nan
-4.882294195200e+01, nan, nan
-4.877176486400e+01, nan, nan
-4.872058777600e+01, nan, nan
-4.866941068800e+01, nan, nan
-4.861823360000e+01, nan, nan
-4.856705651200e+01, nan, nan
-4.851587942400e+01, nan, nan
-4.846470233600e+01, nan, nan
-4.841352524800e+01, nan, nan
-4.836234816000e+01, nan, nan
-4.831117107200e+01, nan, nan
-4.825999398400e+01, nan, nan
-4.820881689600e+01, nan, nan
-4.815763980800e+01, nan, nan
-4.810646272000e+01, nan, nan
-4.805528563200e+01, nan, nan
-4.800410854400e+01, nan, nan
-4.795293145600e+01, nan, nan
-4.790175436800e+01, nan, nan
-4.785057728000e+01, nan, nan
-4.779940019200e+01, nan, nan
-4.774822310400e+01, nan, nan
-4.769704601600e+01, nan, nan
-4.764586892800e+01, nan, nan
-4.759469184000e+01, nan, nan
-4.754351475200e+01, nan, nan
-4.749233766400e+01, nan, nan
-4.744116057600e+01, nan, nan
-4.738998348800e+01, nan, nan
-4.733880640000e+01, nan, nan
-4.728762931200e+01, nan, nan
-4.723645222400e+01, nan, nan
-4.718527513600e+01, nan, nan
-4.713409804800e+01, nan, nan
-4.708292096000e+01, nan, nan
-4.703174387200e+01, nan, nan
-4.698056678400e+01, nan, nan
-4.692938969600e+01, nan, nan
-4.687821260800e+01, nan, nan
-4.682703552000e+01, nan, nan
-4.677585843200e+01, nan, nan
-4.672468134400e+01, nan, nan
-4.667350425600e+01, nan, nan
-4.662232716800e+01, nan, nan
-4.657115008000e+01, nan, nan
-4.651997299200e+01, nan, nan
-4.646879590400e+01, nan, nan
-4.641761881600e+01, nan, nan
-4.636644172800e+01, nan, nan
-4.631526464000e+01, nan, nan
-4.626408755200e+01, nan, nan
-4.621291046400e+01, nan, nan
-4.616173337600e+01, nan, nan
-4.611055628800e+01, nan, nan
-4.605937920000e+01, nan, nan
-4.600820211200e+01, nan, nan
-4.595702502400e+01, nan, nan
-4.590584793600e+01, nan, nan
-4.585467084800e+01, nan, nan
-4.580349376000e+01, nan, nan
-4.575231667200e+01, nan, nan
-4.570113958400e+01, nan, nan
-4.564996249600e+01, nan, nan
-4.559878540800e+01, nan, nan
-4.554760832000e+01, nan, nan
-4.549643123200e+01, nan, nan
-4.544525414400e+01, nan, nan
-4.539407705600e+01, nan, nan
-4.534289996800e+01, nan, nan
-4.529172288000e+01, nan, nan
-4.524054579200e+01, nan, nan
-4.518936870400e+01, nan, nan
-4.513819161600e+01, nan, nan
-4.508701452800e+01, nan, nan
-4.503583744000e+01, nan, nan
-4.498466035200e+01, nan, nan
-4.493348326400e+01, nan, nan
-4.488230617600e+01, nan, nan
-4.483112908800e+01, nan, nan
-4.477995200000e+01, nan, nan
-4.472877491200e+01, nan, nan
-4.467759782400e+01, -2.672500e-02, 2.256299e+00
-4.462642073600e+01, -2.627615e-02, 2.234239e+00
-4.457524364800e+01, -2.659207e-02, 2.211632e+00
-4.452406656000e+01, -2.571156e-02, 2.189595e+00
-4.447288947200e+01, -2.658737e-02, 2.166957e+00
-4.442171238400e+01, -2.579601e-02, 2.145226e+00
-4.437053529600e+01, -2.601496e-02, 2.123182e+00
-4.431935820800e+01, -2.614634e-02, 2.101200e+00
-4.426818112000e+01, -2.558487e-02, 2.078218e+00
-4.421700403200e+01, -2.588828e-02, 2.055642e+00
-4.416582694400e+01, -2.585857e-02, 2.032276e+00
-4.411464985600e+01, -2.572094e-02, 2.007425e+00
-4.406347276800e+01, -2.610567e-02, 1.983215e+00
-4.401229568000e+01, -2.577099e-02, 1.960944e+00
-4.396111859200e+01, -2.576786e-02, 1.939080e+00
-4.390994150400e+01, -2.509379e-02, 1.915331e+00
-4.385876441600e+01, -2.534872e-02, 1.891473e+00
-4.380758732800e+01, -2.546601e-02, 1.868600e+00
-4.375641024000e+01, -2.497962e-02, 1.846556e+00
-4.370523315200e+01, -2.502341e-02, 1.823245e+00
-4.365405606400e+01, -2.449948e-02, 1.800747e+00
-4.360287897600e+01, -2.458394e-02, 1.778633e+00
-4.355170188800e+01, -2.383793e-02, 1.756315e+00
-4.350052480000e+01, -2.346570e-02, 1.734865e+00
-4.344934771200e+01, -2.365025e-02, 1.711945e+00
-4.339817062400e+01, -2.297462e-02, 1.689487e+00
-4.334699353600e+01, -2.297149e-02, 1.667662e+00
-4.329581644800e+01, -2.298557e-02, 1.645141e+00
-4.324463936000e+01, -2.229430e-02, 1.622033e+00
-4.319346227200e+01, -2.235998e-02, 1.599575e+00
-4.314228518400e+01, -2.236937e-02, 1.576530e+00
-4.309110809600e+01, -2.174378e-02, 1.553758e+00
-4.303993100800e+01, -2.171876e-02, 1.530549e+00
-4.298875392000e+01, -2.153890e-02, 1.507340e+00
-4.293757683200e+01, -2.101654e-02, 1.483896e+00
-4.288639974400e+01, -2.115104e-02, 1.461320e+00
-4.283522265600e+01, -2.055048e-02, 1.438393e+00
-4.278404556800e+01, -2.030806e-02, 1.415840e+00
-4.273286848000e+01, -2.033309e-02, 1.391982e+00
-4.268169139200e+01, -1.966527e-02, 1.369297e+00
-4.263051430400e+01, -1.916481e-02, 1.346901e+00
-4.257933721600e+01, -1.899433e-02, 1.324763e+00
-4.252816012800e+01, -1.845320e-02, 1.301124e+00
-4.247698304000e+01, -1.806534e-02, 1.278821e+00
-4.242580595200e+01, -1.792615e-02, 1.256027e+00
-4.237462886400e+01, -1.729118e-02, 1.233482e+00
-4.232345177600e+01, -1.731151e-02, 1.210429e+00
-4.227227468800e+01, -1.617607e-02, 1.188784e+00
-4.222109760000e+01, -1.608536e-02, 1.166576e+00
-4.216992051200e+01, -1.573503e-02, 1.145830e+00
-4.211874342400e+01, -1.494210e-02, 1.121972e+00
-4.206756633600e+01, -1.461680e-02, 1.097347e+00
-4.201638924800e+01, -1.422894e-02, 1.074787e+00
-4.196521216000e+01, -1.360492e-02, 1.052117e+00
-4.191403507200e+01, -1.343757e-02, 1.028728e+00
-4.186285798400e+01, -1.271815e-02, 1.005996e+00
-4.181168089600e+01, -1.217702e-02, 9.831386e-01
-4.176050380800e+01, -1.258052e-02, 9.607896e-01
-4.170932672000e+01, -1.090864e-02, 9.397073e-01
-4.165814963200e+01, -1.025647e-02, 9.165294e-01
-4.160697254400e+01, -9.852968e-03, 8.938754e-01
-4.155579545600e+01, -9.188284e-03, 8.711432e-01
-4.150461836800e+01, -8.697199e-03, 8.484579e-01
-4.145344128000e+01, -8.481373e-03, 8.254755e-01
-4.140226419200e+01, -7.314656e-03, 8.033454e-01
-4.135108710400e+01, -6.840775e-03, 7.791118e-01
-4.129991001600e+01, -6.162015e-03, 7.581625e-01
-4.124873292800e+01, -5.403493e-03, 7.360168e-01
-4.119755584000e+01, -5.003118e-03, 7.144419e-01
-4.114637875200e+01, -3.984978e-03, 6.927184e-01
-4.109520166400e+01, -3.379725e-03, 6.685630e-01
-4.104402457600e+01, -2.747883e-03, 6.466206e-01
-4.099284748800e+01, -1.499841e-03, 6.244436e-01
-4.094167040000e+01, -9.978085e-04, 6.013517e-01
-4.089049331200e+01, 1.094774e-04, 5.785100e-01
-4.083931622400e+01, 9.305581e-04, 5.566145e-01
-4.078813913600e+01, 1.756331e-03, 5.349615e-01
-4.073696204800e+01, 2.821390e-03, 5.129487e-01
-4.068578496000e+01, 3.595551e-03, 4.896300e-01
-4.063460787200e+01, 4.208625e-03, 4.668430e-01
-4.058343078400e+01, 5.264300e-03, 4.410846e-01
-4.053225369600e+01, 5.985287e-03, 4.185322e-01
-4.048107660800e+01, 6.657791e-03, 3.959251e-01
-4.042989952000e+01, 7.777589e-03, 3.740140e-01
-4.037872243200e+01, 8.293697e-03, 3.516180e-01
-4.032754534400e+01, 8.983405e-03, 3.287764e-01
-4.027636825600e+01, 1.037846e-02, 3.078974e-01
-4.022519116800e+01, 1.081168e-02, 2.851418e-01
-4.017401408000e+01, 1.152484e-02, 2.612913e-01
-4.012283699200e+01, 1.258678e-02, 2.389970e-01
-4.007165990400e+01, 1.334843e-02, 2.160068e-01
-4.002048281600e+01, 1.469031e-02, 1.939940e-01
-3.996930572800e+01, 1.549888e-02, 1.711992e-01
-3.991812864000e+01, 1.590238e-02, 1.492099e-01
-3.986695155200e+01, 1.743193e-02, 1.265637e-01
-3.981577446400e+01, 1.788236e-02, 1.037690e-01
-3.976459737600e+01, 1.926959e-02, 8.134955e-02
-3.971342028800e+01, 1.988579e-02, 5.853133e-02
-3.966224320000e+01, 2.105720e-02, 3.522045e-02
-3.961106611200e+01, 2.198150e-02, 1.358302e-02
-3.955988902400e+01, 2.214416e-02, -1.004846e-02
-3.950871193600e+01, 2.337656e-02, -3.126363e-02
-3.945753484800e+01, 2.457143e-02, -5.369086e-02
-3.940635776000e+01, 2.505469e-02, -7.921474e-02
-3.935518067200e+01, 2.588046e-02, -1.028619e-01
-3.930400358400e+01, 2.666245e-02, -1.244758e-01
-3.925282649600e+01, 2.760708e-02, -1.473566e-01
-3.920164940800e+01, 2.837811e-02, -1.698699e-01
-3.915047232000e+01, 2.943535e-02, -1.919530e-01
-3.909929523200e+01, 2.984824e-02, -2.146852e-01
-3.904811814400e+01, 3.071311e-02, -2.359160e-01
-3.899694105600e+01, 3.146381e-02, -2.587655e-01
-3.894576396800e+01, 3.215821e-02, -2.820686e-01
-3.889458688000e+01, 3.297929e-02, -3.039093e-01
-3.884340979200e+01, 3.300588e-02, -3.266572e-01
-3.879223270400e+01, 3.360644e-02, -3.497882e-01
-3.874105561600e+01, 3.459487e-02, -3.713631e-01
-3.868987852800e+01, 3.482164e-02, -3.942204e-01
-3.863870144000e+01, 3.537372e-02, -4.164991e-01
-3.858752435200e+01, 3.514069e-02, -4.383945e-01
-3.853634726400e+01, 3.541438e-02, -4.607514e-01
-3.848517017600e+01, 3.553794e-02, -4.835071e-01
-3.843399308800e+01, 3.504216e-02, -5.056137e-01
-3.838281600000e+01, 3.520012e-02, -5.282364e-01
-3.833163891200e+01, 3.489358e-02, -5.503196e-01
-3.828046182400e+01, 3.430084e-02, -5.728094e-01
-3.822928473600e+01, 3.408814e-02, -5.961593e-01
-3.817810764800e+01, 3.289171e-02, -6.194077e-01
-3.812693056000e+01, 3.212693e-02, -6.411467e-01
-3.807575347200e+01, 3.159519e-02, -6.639024e-01
-3.802457638400e+01, 3.046913e-02, -6.862123e-01
-3.797339929600e+01, 2.918825e-02, -7.090853e-01
-3.792222220800e+01, 2.841565e-02, -7.314813e-01
-3.787104512000e+01, 2.669685e-02, -7.548391e-01
-3.781986803200e+01, 2.527052e-02, -7.772115e-01
-3.776869094400e+01, 2.465901e-02, -7.999907e-01
-3.771751385600e+01, 2.351731e-02, -8.206350e-01
-3.766633676800e+01, 2.267121e-02, -8.444698e-01
-3.761515968000e+01, 2.176411e-02, -8.653252e-01
-3.756398259200e+01, 2.012664e-02, -8.875257e-01
-3.751280550400e+01, 1.927428e-02, -9.106020e-01
-3.746162841600e+01, 1.823112e-02, -9.335610e-01
-3.741045132800e+01, 1.738502e-02, -9.553313e-01
-3.735927424000e+01, 1.649981e-02, -9.783763e-01
-3.730809715200e+01, 1.514073e-02, -1.000733e+00
-3.725692006400e+01, 1.407880e-02, -1.022449e+00
-3.720574297600e+01, 1.323582e-02, -1.045979e+00
-3.715456588800e+01, 1.209256e-02, -1.069282e+00
-3.710338880000e+01, 1.140442e-02, -1.090630e+00
-3.705221171200e+01, 1.025803e-02, -1.113581e+00
-3.700103462400e+01, 9.368140e-03, -1.139480e+00
-3.694985753600e+01, 8.461041e-03, -1.163088e+00
-3.689868044800e+01, 7.272429e-03, -1.186219e+00
-3.684750336000e+01, 6.380970e-03, -1.209249e+00
-3.679632627200e+01, 5.592732e-03, -1.231950e+00
-3.674514918400e+01, 4.238340e-03, -1.255127e+00
-3.669397209600e+01, 3.593987e-03, -1.277664e+00
-3.664279500800e+01, 2.575847e-03, -1.299802e+00
-3.659161792000e+01, 1.496713e-03, -1.322917e+00
-3.654044083200e+01, 7.194231e-04, -1.345274e+00
-3.648926374400e+01, -1.016576e-04, -1.368006e+00
-3.643808665600e+01, -1.183920e-03, -1.390293e+00
-3.638690956800e+01, -1.579603e-03, -1.411860e+00
-3.633573248000e+01, -2.294334e-03, -1.434999e+00
-3.628455539200e+01, -2.890204e-03, -1.457340e+00
-3.623337830400e+01, -3.894268e-03, -1.479978e+00
-3.618220121600e+01, -4.436964e-03, -1.502406e+00
-3.613102412800e+01, -5.250225e-03, -1.525427e+00
-3.607984704000e+01, -5.265864e-03, -1.547479e+00
-3.602866995200e+01, -6.058794e-03, -1.571588e+00
-3.597749286400e+01, -6.725042e-03, -1.593921e+00
-3.592631577600e+01, -6.840775e-03, -1.615371e+00
-3.587513868800e+01, -7.707211e-03, -1.639307e+00
-3.582396160000e+01, -8.170144e-03, -1.664166e+00
-3.577278451200e+01, -8.683124e-03, -1.685483e+00
-3.572160742400e+01, -8.631513e-03, -1.708982e+00
-3.567043033600e+01, -8.834828e-03, -1.731737e+00
-3.561925324800e+01, -9.607426e-03, -1.753875e+00
-3.556807616000e+01, -9.693444e-03, -1.776639e+00
-3.551689907200e+01, -1.025021e-02, -1.797862e+00
-3.546572198400e+01, -1.037533e-02, -1.820203e+00
-3.541454489600e+01, -1.069907e-02, -1.841880e+00
-3.536336780800e+01, -1.105253e-02, -1.865441e+00
-3.531219072000e+01, -1.149669e-02, -1.887915e+00
-3.526101363200e+01, -1.170314e-02, -1.911875e+00
-3.520983654400e+01, -1.241474e-02, -1.935146e+00
-3.515865945600e+01, -1.255550e-02, -1.957237e+00
-3.510748236800e+01, -1.283701e-02, -1.980181e+00
-3.505630528000e+01, -1.329056e-02, -2.002420e+00
-3.500512819200e+01, -1.348605e-02, -2.025379e+00
-3.495395110400e+01, -1.380041e-02, -2.048909e+00
-3.490277401600e+01, -1.435249e-02, -2.071501e+00
-3.485159692800e+01, -1.415074e-02, -2.093545e+00
-3.480041984000e+01, -1.446979e-02, -2.115776e+00
-3.474924275200e+01, -1.456675e-02, -2.137969e+00
-3.469806566400e+01, -1.482012e-02, -2.161890e+00
-3.464688857600e+01, -1.514542e-02, -2.186170e+00
-3.459571148800e+01, -1.496400e-02, -2.207487e+00
-3.454453440000e+01, -1.503281e-02, -2.229907e+00
-3.449335731200e+01, -1.569437e-02, -2.252756e+00
-3.444218022400e+01, -1.497026e-02, -2.274761e+00
-3.439100313600e+01, -1.555049e-02, -2.297212e+00
-3.433982604800e+01, -1.576944e-02, -2.319764e+00
-3.428864896000e+01, -1.514386e-02, -2.342348e+00
-3.423747187200e+01, -1.598683e-02, -2.365557e+00
-3.418629478400e+01, -1.600873e-02, -2.388008e+00
-3.413511769600e+01, -1.555831e-02, -2.410771e+00
-3.408394060800e+01, -1.610726e-02, -2.433120e+00
-3.403276352000e+01, -1.545039e-02, -2.455016e+00
-3.398158643200e+01, -1.608536e-02, -2.477521e+00
-3.393040934400e+01, -1.627929e-02, -2.499456e+00
-3.387923225600e+01, -1.577413e-02, -2.522649e+00
-3.382805516800e+01, -1.650763e-02, -2.544498e+00
-3.377687808000e+01, -1.601968e-02, -2.566917e+00
-3.372570099200e+01, -1.575067e-02, -2.587859e+00
-3.367452390400e+01, -1.628399e-02, -2.610896e+00
-3.362334681600e+01, -1.582418e-02, -2.633261e+00
-3.357216972800e+01, -1.605721e-02, -2.655438e+00
-3.352099264000e+01, -1.552390e-02, -2.677810e+00
-3.346981555200e+01, -1.562712e-02, -2.703217e+00
-3.341863846400e+01, -1.546134e-02, -2.726356e+00
-3.336746137600e+01, -1.535812e-02, -2.749299e+00
-3.331628428800e+01, -1.522518e-02, -2.772078e+00
-3.326510720000e+01, -1.509068e-02, -2.794185e+00
-3.321393011200e+01, -1.462775e-02, -2.816909e+00
-3.316275302400e+01, -1.425552e-02, -2.838421e+00
-3.311157593600e+01, 5.156387e-03, -2.860676e+00
-3.306039884800e+01, -1.735999e-03, -2.883487e+00
-3.300922176000e+01, -8.418814e-03, -2.905953e+00
-3.295804467200e+01, -1.086642e-02, -2.928912e+00
-3.290686758400e+01, -1.136219e-02, -2.951371e+00
-3.285569049600e+01, -1.099153e-02, -2.973556e+00
-3.280451340800e+01, -1.069282e-02, -2.995639e+00
-3.275333632000e+01, -1.013917e-02, -3.018801e+00
-3.270215923200e+01, -9.355628e-03, -3.040775e+00
-3.265098214400e+01, -8.994353e-03, -3.063069e+00
-3.259980505600e+01, -7.879247e-03, -3.086145e+00
-3.254862796800e+01, -7.008119e-03, -3.107791e+00
-3.249745088000e+01, -6.119788e-03, -3.130695e+00
-3.244627379200e+01, -4.910845e-03, -3.154154e+00
-3.239509670400e+01, -3.767587e-03, -3.176276e+00
-3.234391961600e+01, -3.220200e-03, -3.199822e+00
-3.229274252800e+01, -1.748511e-03, -3.225010e+00
-3.224156544000e+01, -9.587095e-04, -3.247789e+00
-3.219038835200e+01, 2.971530e-04, -3.269465e+00
-3.213921126400e+01, 1.496713e-03, -3.292737e+00
-3.208803417600e+01, 2.223956e-03, -3.315727e+00
-3.203685708800e+01, 3.642470e-03, -3.336974e+00
-3.198568000000e+01, 5.147003e-03, -3.358955e+00
-3.193450291200e+01, 5.893013e-03, -3.380937e+00
-3.188332582400e+01, 7.530483e-03, -3.402856e+00
-3.183214873600e+01, 8.852032e-03, -3.425666e+00
-3.178097164800e+01, 1.019548e-02, -3.447491e+00
-3.172979456000e+01, 1.141380e-02, -3.470223e+00
-3.167861747200e+01, 1.247261e-02, -3.493120e+00
-3.162744038400e+01, 1.465746e-02, -3.515383e+00
-3.157626329600e+01, 1.627460e-02, -3.538357e+00
-3.152508620800e+01, 1.764776e-02, -3.561848e+00
-3.147390912000e+01, 1.970750e-02, -3.583204e+00
-3.142273203200e+01, 2.109474e-02, -3.605506e+00
-3.137155494400e+01, 2.294803e-02, -3.628231e+00
-3.132037785600e+01, 2.513602e-02, -3.648789e+00
-3.126920076800e+01, 2.661240e-02, -3.671349e+00
