% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.099980723200e+01, 4.602673e-03, 1.990883e+00
-5.094520358400e+01, 4.294851e-03, 1.991250e+00
-5.089059993600e+01, 4.228889e-03, 1.990971e+00
-5.083599628800e+01, 4.844533e-03, 1.991147e+00
-5.078139264000e+01, 5.167013e-03, 1.990722e+00
-5.072678899200e+01, 4.947140e-03, 1.991096e+00
-5.067218534400e+01, 4.536711e-03, 1.991118e+00
-5.061758169600e+01, 5.137697e-03, 1.991110e+00
-5.056297804800e+01, 3.994358e-03, 1.991572e+00
-5.050837440000e+01, 3.085550e-03, 1.991059e+00
-5.045377075200e+01, 4.228889e-03, 1.990568e+00
-5.039916710400e+01, 2.982942e-03, 1.990509e+00
-5.034456345600e+01, 3.635232e-03, 1.990216e+00
-5.028995980800e+01, 4.595344e-03, 1.991059e+00
-5.023535616000e+01, 4.434103e-03, 1.990465e+00
-5.018075251200e+01, 4.096965e-03, 1.990854e+00
-5.012614886400e+01, 4.844533e-03, 1.990429e+00
-5.007154521600e+01, 5.570113e-03, 1.990509e+00
-5.001694156800e+01, 5.474835e-03, 1.990737e+00
-4.996233792000e+01, 5.115709e-03, 1.991792e+00
-4.990773427200e+01, 5.357570e-03, 1.990986e+00
-4.985313062400e+01, 5.093722e-03, 1.990927e+00
-4.979852697600e+01, 5.408873e-03, 1.991169e+00
-4.974392332800e+01, 5.533468e-03, 1.990707e+00
-4.968931968000e+01, 6.273707e-03, 1.990084e+00
-4.963471603200e+01, 6.259049e-03, 1.990399e+00
-4.958011238400e+01, 5.577443e-03, 1.990231e+00
-4.952550873600e+01, 6.288365e-03, 1.991081e+00
-4.947090508800e+01, 6.662149e-03, 1.991294e+00
-4.941630144000e+01, 6.061163e-03, 1.991096e+00
-4.936169779200e+01, 6.097808e-03, 1.991513e+00
-4.930709414400e+01, 6.925996e-03, 1.991382e+00
-4.925249049600e+01, 6.024517e-03, 1.990671e+00
-4.919788684800e+01, 5.174342e-03, 1.990583e+00
-4.914328320000e+01, 6.053834e-03, 1.990429e+00
-4.908867955200e+01, 6.346998e-03, 1.990634e+00
-4.903407590400e+01, 6.852705e-03, 1.990033e+00
-4.897947225600e+01, 6.456934e-03, 1.990663e+00
-4.892486860800e+01, 6.171099e-03, 1.990722e+00
-4.887026496000e+01, 6.127125e-03, 1.990759e+00
-4.881566131200e+01, 7.219160e-03, 1.990619e+00
-4.876105766400e+01, 6.882022e-03, 1.990890e+00
-4.870645401600e+01, 7.776172e-03, 1.990055e+00
-4.865185036800e+01, 7.321768e-03, 1.990341e+00
-4.859724672000e+01, 6.786744e-03, 1.990304e+00
-4.854264307200e+01, 6.640162e-03, 1.990964e+00
-4.848803942400e+01, 7.241148e-03, 1.990656e+00
-4.843343577600e+01, 7.944741e-03, 1.990927e+00
-4.837883212800e+01, 6.552212e-03, 1.991513e+00
-4.832422848000e+01, 6.185758e-03, 1.991425e+00
-4.826962483200e+01, 6.134454e-03, 1.990363e+00
-4.821502118400e+01, 5.269620e-03, 1.990671e+00
-4.816041753600e+01, 5.379557e-03, 1.991294e+00
-4.810581388800e+01, 5.687379e-03, 1.991000e+00
-4.805121024000e+01, 6.625503e-03, 1.990165e+00
-4.799660659200e+01, 7.270464e-03, 1.990084e+00
-4.794200294400e+01, 7.607602e-03, 1.990443e+00
-4.788739929600e+01, 7.461020e-03, 1.990546e+00
-4.783279564800e+01, 6.632832e-03, 1.990231e+00
-4.777819200000e+01, 7.043262e-03, 1.991030e+00
-4.772358835200e+01, 7.028604e-03, 1.991059e+00
-4.766898470400e+01, 7.365742e-03, 1.989835e+00
-4.761438105600e+01, 7.255806e-03, 1.990575e+00
-4.755977740800e+01, 6.640162e-03, 1.990898e+00
-4.750517376000e+01, 6.728111e-03, 1.989996e+00
-4.745057011200e+01, 6.149112e-03, 1.989996e+00
-4.739596646400e+01, 6.288365e-03, 1.990319e+00
-4.734136281600e+01, 5.987872e-03, 1.990744e+00
-4.728675916800e+01, 7.373071e-03, 1.991264e+00
-4.723215552000e+01, 6.882022e-03, 1.989645e+00
-4.717755187200e+01, 6.610845e-03, 1.990128e+00
-4.712294822400e+01, 6.779414e-03, 1.989850e+00
-4.706834457600e+01, 6.412960e-03, 1.990121e+00
-4.701374092800e+01, 6.816060e-03, 1.990253e+00
-4.695913728000e+01, 6.654820e-03, 1.975514e+00
-4.690453363200e+01, 7.556299e-03, 1.950954e+00
-4.684992998400e+01, 8.025361e-03, 1.928263e+00
-4.679532633600e+01, 8.193930e-03, 1.902018e+00
-4.674072268800e+01, 8.765600e-03, 1.878308e+00
-4.668611904000e+01, 8.721625e-03, 1.855251e+00
-4.663151539200e+01, 7.768842e-03, 1.831849e+00
-4.657691174400e+01, 9.241991e-03, 1.808249e+00
-4.652230809600e+01, 1.041465e-02, 1.785705e+00
-4.646770444800e+01, 1.105961e-02, 1.763769e+00
-4.641310080000e+01, 1.106694e-02, 1.739686e+00
-4.635849715200e+01, 1.053191e-02, 1.713059e+00
-4.630389350400e+01, 1.231288e-02, 1.690419e+00
-4.624928985600e+01, 1.305312e-02, 1.667787e+00
-4.619468620800e+01, 1.274530e-02, 1.645016e+00
-4.614008256000e+01, 1.336094e-02, 1.621812e+00
-4.608547891200e+01, 1.499533e-02, 1.598483e+00
-4.603087526400e+01, 1.538377e-02, 1.575045e+00
-4.597627161600e+01, 1.542775e-02, 1.548711e+00
-4.592166796800e+01, 1.612401e-02, 1.525522e+00
-4.586706432000e+01, 1.658575e-02, 1.502670e+00
-4.581246067200e+01, 1.785368e-02, 1.479334e+00
-4.575785702400e+01, 1.849864e-02, 1.456379e+00
-4.570325337600e+01, 1.918025e-02, 1.432487e+00
-4.564864972800e+01, 1.886509e-02, 1.407788e+00
-4.559404608000e+01, 1.946608e-02, 1.381982e+00
-4.553944243200e+01, 2.181872e-02, 1.358551e+00
-4.548483878400e+01, 2.374627e-02, 1.335545e+00
-4.543023513600e+01, 2.482365e-02, 1.311857e+00
-4.537563148800e+01, 2.719095e-02, 1.288367e+00
-4.532102784000e+01, 2.878136e-02, 1.264980e+00
-4.526642419200e+01, 3.001265e-02, 1.240039e+00
-4.521182054400e+01, 3.130990e-02, 1.213471e+00
-4.515721689600e+01, 3.196219e-02, 1.190106e+00
-4.510261324800e+01, 3.328876e-02, 1.166367e+00
-4.504800960000e+01, 3.502575e-02, 1.143420e+00
-4.499340595200e+01, 3.578065e-02, 1.120494e+00
-4.493880230400e+01, 3.758361e-02, 1.097005e+00
-4.488419865600e+01, 3.954048e-02, 1.073573e+00
-4.482959500800e+01, 4.045661e-02, 1.047826e+00
-4.477499136000e+01, 4.224491e-02, 1.024703e+00
-4.472038771200e+01, 4.433371e-02, 1.001851e+00
-4.466578406400e+01, 4.597542e-02, 9.799882e-01
-4.461118041600e+01, 4.692821e-02, 9.568356e-01
-4.455657676800e+01, 4.911228e-02, 9.390552e-01
-4.450197312000e+01, 5.062940e-02, 9.160491e-01
-4.444736947200e+01, 5.250565e-02, 8.902287e-01
-4.439276582400e+01, 5.451382e-02, 8.667683e-01
-4.433816217600e+01, 5.734285e-02, 8.424797e-01
-4.428355852800e+01, 6.077287e-02, 8.196495e-01
-4.422895488000e+01, 6.254651e-02, 7.933454e-01
-4.417435123200e+01, 6.430549e-02, 7.697970e-01
-4.411974758400e+01, 6.711254e-02, 7.448048e-01
-4.406514393600e+01, 6.892283e-02, 7.206041e-01
-4.401054028800e+01, 7.176651e-02, 6.950256e-01
-4.395593664000e+01, 7.326165e-02, 6.719096e-01
-4.390133299200e+01, 7.573156e-02, 6.467122e-01
-4.384672934400e+01, 7.808420e-02, 6.244024e-01
-4.379212569600e+01, 8.041485e-02, 5.991830e-01
-4.373752204800e+01, 8.361033e-02, 5.777307e-01
-4.368291840000e+01, 8.607291e-02, 5.542336e-01
-4.362831475200e+01, 8.875536e-02, 5.311616e-01
-4.357371110400e+01, 9.190687e-02, 5.077745e-01
-4.351910745600e+01, 9.502174e-02, 4.841308e-01
-4.346450380800e+01, 9.840778e-02, 4.616964e-01
-4.340990016000e+01, 1.016912e-01, 4.386318e-01
-4.335529651200e+01, 1.055830e-01, 4.157723e-01
-4.330069286400e+01, 1.084560e-01, 3.899666e-01
-4.324608921600e+01, 1.107060e-01, 3.675469e-01
-4.319148556800e+01, 1.143119e-01, 3.427525e-01
-4.313688192000e+01, 1.176173e-01, 3.192628e-01
-4.308227827200e+01, 1.213039e-01, 2.955238e-01
-4.302767462400e+01, 1.249098e-01, 2.734120e-01
-4.297307097600e+01, 1.291533e-01, 2.490427e-01
-4.291846732800e+01, 1.327593e-01, 2.234642e-01
-4.286386368000e+01, 1.356836e-01, 1.977683e-01
-4.280926003200e+01, 1.388937e-01, 1.756565e-01
-4.275465638400e+01, 1.433205e-01, 1.520861e-01
